"DATE","TIME PERIOD","Long-term interest rate for convergence purposes - 10 years maturity, denominated in Euro - Germany (IRS.M.DE.L.L40.CI.0000.EUR.N.Z)"
"1990-01-31","1990Jan","7.63"
"1990-02-28","1990Feb","8.43"
"1990-03-31","1990Mar","8.67"
"1990-04-30","1990Apr","8.70"
"1990-05-31","1990May","8.74"
"1990-06-30","1990Jun","8.82"
"1990-07-31","1990Jul","8.58"
"1990-08-31","1990Aug","8.90"
"1990-09-30","1990Sep","9.09"
"1990-10-31","1990Oct","9.09"
"1990-11-30","1990Nov","8.95"
"1990-12-31","1990Dec","8.85"
"1991-01-31","1991Jan","8.94"
"1991-02-28","1991Feb","8.42"
"1991-03-31","1991Mar","8.41"
"1991-04-30","1991Apr","8.39"
"1991-05-31","1991May","8.39"
"1991-06-30","1991Jun","8.39"
"1991-07-31","1991Jul","8.61"
"1991-08-31","1991Aug","8.56"
"1991-09-30","1991Sep","8.45"
"1991-10-31","1991Oct","8.36"
"1991-11-30","1991Nov","8.34"
"1991-12-31","1991Dec","8.24"
"1992-01-31","1992Jan","7.98"
"1992-02-29","1992Feb","7.92"
"1992-03-31","1992Mar","8.00"
"1992-04-30","1992Apr","8.04"
"1992-05-31","1992May","8.08"
"1992-06-30","1992Jun","8.06"
"1992-07-31","1992Jul","8.12"
"1992-08-31","1992Aug","8.08"
"1992-09-30","1992Sep","7.71"
"1992-10-31","1992Oct","7.47"
"1992-11-30","1992Nov","7.38"
"1992-12-31","1992Dec","7.33"
"1993-01-31","1993Jan","7.15"
"1993-02-28","1993Feb","6.94"
"1993-03-31","1993Mar","6.66"
"1993-04-30","1993Apr","6.68"
"1993-05-31","1993May","6.83"
"1993-06-30","1993Jun","6.81"
"1993-07-31","1993Jul","6.62"
"1993-08-31","1993Aug","6.41"
"1993-09-30","1993Sep","6.20"
"1993-10-31","1993Oct","6.00"
"1993-11-30","1993Nov","5.98"
"1993-12-31","1993Dec","5.85"
"1994-01-31","1994Jan","5.80"
"1994-02-28","1994Feb","6.07"
"1994-03-31","1994Mar","6.34"
"1994-04-30","1994Apr","6.48"
"1994-05-31","1994May","6.66"
"1994-06-30","1994Jun","7.05"
"1994-07-31","1994Jul","6.90"
"1994-08-31","1994Aug","7.09"
"1994-09-30","1994Sep","7.52"
"1994-10-31","1994Oct","7.54"
"1994-11-30","1994Nov","7.49"
"1994-12-31","1994Dec","7.46"
"1995-01-31","1995Jan","7.60"
"1995-02-28","1995Feb","7.42"
"1995-03-31","1995Mar","7.28"
